number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,user_attrs_Model,state
0,-26.873104376897345,2022-09-09 00:36:39.586340,2022-09-09 08:18:23.554924,0 days 07:41:43.968584,leaky_relu,64,0.3,0.8,0.99,0.008314243077422775,0.5,5,16,big,PPO,COMPLETE
1,116.35501038359419,2022-09-09 00:36:42.715034,2022-09-09 08:45:08.086675,0 days 08:08:25.371641,relu,64,0.1,0.95,0.9,0.03293410524483474,1.0,1,16,small,PPO,COMPLETE
2,,2022-09-09 00:36:45.594427,2022-09-09 01:00:42.395524,0 days 00:23:56.801097,tanh,32,0.2,0.95,0.995,0.2628345164100806,0.7,10,8,medium,PPO,FAIL
3,-21.84691710677321,2022-09-09 00:36:48.841852,2022-09-09 07:48:55.212089,0 days 07:12:06.370237,leaky_relu,64,0.1,1.0,0.9,0.33651281223188734,0.5,10,2048,medium,PPO,COMPLETE
4,411.87257840038944,2022-09-09 00:36:51.630110,2022-09-09 07:59:56.109392,0 days 07:23:04.479282,tanh,64,0.2,0.98,0.99,0.0007389511751362544,2.0,10,2048,medium,PPO,COMPLETE
5,-146.1913197536855,2022-09-09 00:36:54.876337,2022-09-09 08:15:06.754005,0 days 07:38:11.877668,relu,128,0.3,1.0,0.9,0.010536445938137703,0.3,20,128,big,PPO,COMPLETE
6,245.6231372366638,2022-09-09 00:36:57.661515,2022-09-09 07:55:22.923466,0 days 07:18:25.261951,elu,16,0.2,0.9,0.9999,0.002036945255155542,0.3,1,256,medium,PPO,COMPLETE
7,355.21749602567456,2022-09-09 00:37:01.156266,2022-09-09 10:37:42.637116,0 days 10:00:41.480850,tanh,16,0.1,0.95,0.98,1.4248795967478597e-05,0.3,20,8,small,PPO,COMPLETE
8,302.9532744551494,2022-09-09 07:48:55.276771,2022-09-09 14:51:31.736264,0 days 07:02:36.459493,tanh,256,0.3,0.99,0.9999,0.1677616366462002,0.8,5,512,big,PPO,COMPLETE
9,572.3423595922467,2022-09-09 07:55:22.991990,2022-09-09 15:11:52.569567,0 days 07:16:29.577577,relu,128,0.1,1.0,0.9,2.5901569052680938e-05,2.0,20,128,small,PPO,COMPLETE
10,-128.14472494884433,2022-09-09 07:59:56.180130,2022-09-09 15:31:26.086052,0 days 07:31:29.905922,relu,128,0.2,1.0,0.995,0.01132492351282786,0.3,10,512,big,PPO,COMPLETE
11,218.0488260963315,2022-09-09 08:15:06.825515,2022-09-09 15:45:38.694862,0 days 07:30:31.869347,leaky_relu,128,0.4,0.98,0.95,0.0002446851702494702,0.9,5,16,big,PPO,COMPLETE
12,154.05880858578092,2022-09-09 08:18:23.629192,2022-09-09 16:26:21.129529,0 days 08:07:57.500337,leaky_relu,512,0.4,0.98,0.999,0.8321531028360879,0.9,20,64,big,PPO,COMPLETE
13,,2022-09-09 08:45:08.177224,2022-09-09 14:18:21.418883,0 days 05:33:13.241659,tanh,8,0.4,0.92,0.99,0.3854459890844627,5.0,1,1024,medium,PPO,FAIL
14,62.51372028948883,2022-09-09 10:37:42.707719,2022-09-09 21:02:37.808021,0 days 10:24:55.100302,tanh,512,0.4,0.98,0.9,0.011939903989631665,0.7,20,16,small,PPO,COMPLETE
15,-13.721431478969077,2022-09-09 14:51:31.800462,2022-09-10 00:51:46.463576,0 days 10:00:14.663114,elu,32,0.4,0.8,0.995,1.839349444822591e-05,1.0,10,8,medium,PPO,COMPLETE
16,,2022-09-09 15:11:52.747352,2022-09-09 15:54:23.059484,0 days 00:42:30.312132,relu,64,0.1,0.92,0.99,0.3023658913552414,0.8,20,16,small,PPO,FAIL
17,573.8304247646513,2022-09-09 15:31:26.147922,2022-09-09 22:56:01.090595,0 days 07:24:34.942673,relu,128,0.1,1.0,0.9,6.236898727773588e-05,0.6,20,256,small,PPO,COMPLETE
18,533.0057084421791,2022-09-09 15:45:38.755782,2022-09-09 23:12:19.546194,0 days 07:26:40.790412,tanh,64,0.2,0.92,0.95,0.00038476208934036586,0.7,5,2048,medium,PPO,COMPLETE
19,449.57834326515905,2022-09-09 16:26:21.189007,2022-09-10 00:24:06.701081,0 days 07:57:45.512074,tanh,32,0.2,0.98,0.99,8.957496349883265e-05,2.0,5,2048,medium,PPO,COMPLETE
20,207.39411884644915,2022-09-09 21:02:37.877666,2022-09-10 05:47:44.631619,0 days 08:45:06.753953,relu,64,0.1,1.0,0.999,2.5828009315016742e-05,0.8,20,128,small,PPO,COMPLETE
21,261.9072284149824,2022-09-09 22:56:01.145358,2022-09-10 06:55:17.170137,0 days 07:59:16.024779,relu,128,0.1,1.0,0.995,1.2894522242608522e-05,2.0,5,8,small,PPO,COMPLETE
22,484.92989093458436,2022-09-09 23:12:19.604621,2022-09-10 06:53:12.919963,0 days 07:40:53.315342,relu,128,0.1,0.92,0.9,1.1608264778538204e-05,0.6,20,1024,small,PPO,COMPLETE
23,574.3290591101421,2022-09-10 00:24:06.765555,2022-09-10 08:21:59.842714,0 days 07:57:53.077159,leaky_relu,128,0.2,1.0,0.9,3.256514743297318e-05,0.6,20,256,small,PPO,COMPLETE
24,447.4434227470125,2022-09-10 00:51:46.533949,2022-09-10 07:50:46.396220,0 days 06:58:59.862271,relu,128,0.4,1.0,0.9,3.6795794203603e-05,0.6,1,256,small,PPO,COMPLETE
25,577.6749040807674,2022-09-10 05:47:44.711446,2022-09-10 14:23:37.911005,0 days 08:35:53.199559,tanh,128,0.1,0.9,0.9,0.00012771308004129892,5.0,20,128,small,PPO,COMPLETE
26,566.4260980880892,2022-09-10 06:53:12.992942,2022-09-10 15:34:25.428897,0 days 08:41:12.435955,leaky_relu,256,0.1,1.0,0.9,4.075020525295688e-05,1.0,20,256,small,PPO,COMPLETE
27,206.70213801708465,2022-09-10 06:55:17.224583,2022-09-10 14:03:31.448848,0 days 07:08:14.224265,relu,128,0.2,1.0,0.9999,0.0008888818821382052,5.0,20,2048,small,PPO,COMPLETE
28,398.21875769631436,2022-09-10 07:50:46.458499,2022-09-10 15:21:26.534127,0 days 07:30:40.075628,relu,64,0.2,1.0,0.95,0.00032165897070722126,0.7,5,64,medium,PPO,COMPLETE
29,545.7139342603281,2022-09-10 08:21:59.894586,2022-09-10 15:47:54.837730,0 days 07:25:54.943144,relu,8,0.1,0.98,0.9,1.1551552250805426e-05,2.0,1,128,small,PPO,COMPLETE
30,486.97187918796624,2022-09-10 14:03:31.498159,2022-09-10 21:32:58.521272,0 days 07:29:27.023113,leaky_relu,32,0.2,1.0,0.98,2.3522288470311026e-05,0.6,20,256,small,PPO,COMPLETE
31,571.5573179710934,2022-09-10 14:23:37.983427,2022-09-10 21:50:44.188048,0 days 07:27:06.204621,leaky_relu,128,0.3,1.0,0.9,2.3753220196413675e-05,0.8,20,256,small,PPO,COMPLETE
32,544.3410667147242,2022-09-10 15:21:26.601862,2022-09-10 23:57:12.632141,0 days 08:35:46.030279,leaky_relu,512,0.2,1.0,0.9,1.505091498683723e-05,0.6,20,256,small,PPO,COMPLETE
33,581.4551554428975,2022-09-10 15:34:25.505962,2022-09-11 01:02:45.465931,0 days 09:28:19.959969,tanh,16,0.1,0.9,0.98,0.0007195490781926072,5.0,10,128,small,PPO,COMPLETE
34,500.8182509731445,2022-09-10 15:47:54.902611,2022-09-10 23:26:21.144747,0 days 07:38:26.242136,tanh,128,0.2,0.95,0.9,2.4397578926475423e-05,0.6,20,256,big,PPO,COMPLETE
35,577.9615250544284,2022-09-10 21:32:58.573602,2022-09-11 05:19:26.363293,0 days 07:46:27.789691,tanh,32,0.2,0.9,0.9,9.617180086686497e-05,0.5,20,128,small,PPO,COMPLETE
36,441.5000465843785,2022-09-10 21:50:44.242386,2022-09-11 05:38:27.717062,0 days 07:47:43.474676,leaky_relu,128,0.2,0.98,0.99,0.0006015211456262637,0.6,20,256,big,PPO,COMPLETE
37,582.2735598629921,2022-09-10 23:26:21.201120,2022-09-11 07:07:19.732457,0 days 07:40:58.531337,tanh,64,0.1,0.9,0.9,0.00011569952814081352,5.0,20,128,medium,PPO,COMPLETE
38,580.1324491741325,2022-09-10 23:57:12.684265,2022-09-11 08:46:26.513740,0 days 08:49:13.829475,tanh,128,0.1,0.9,0.9,0.0017708392116383678,0.8,20,128,small,PPO,COMPLETE
39,403.6820958218807,2022-09-11 01:02:45.542781,2022-09-11 09:41:00.380984,0 days 08:38:14.838203,elu,16,0.1,0.9,0.999,9.289579798723862e-05,5.0,1,128,small,PPO,COMPLETE
40,576.4176513288262,2022-09-11 05:19:26.431973,2022-09-11 13:13:24.896596,0 days 07:53:58.464623,tanh,64,0.1,0.9,0.9,6.360855682017563e-05,5.0,20,128,small,PPO,COMPLETE
41,581.3024007177481,2022-09-11 05:38:27.783293,2022-09-11 12:48:27.261921,0 days 07:09:59.478628,tanh,128,0.1,0.9,0.98,0.0005926979789165331,5.0,20,128,small,PPO,COMPLETE
42,574.3683548714585,2022-09-11 07:07:19.792567,2022-09-11 14:55:26.973743,0 days 07:48:07.181176,tanh,16,0.1,0.9,0.9,0.00040328328472322676,0.9,10,128,small,PPO,COMPLETE
43,542.1540301990283,2022-09-11 08:46:26.585943,2022-09-11 17:39:24.117936,0 days 08:52:57.531993,tanh,32,0.2,0.9,0.9,0.0001748249770123656,0.5,5,16,small,PPO,COMPLETE
44,358.8682437109674,2022-09-11 09:41:00.432680,2022-09-11 18:42:04.548545,0 days 09:01:04.115865,tanh,16,0.1,0.98,0.9999,0.0009139008055913323,0.5,10,128,small,PPO,COMPLETE
45,583.0940721745121,2022-09-11 12:48:27.318782,2022-09-11 20:07:17.832099,0 days 07:18:50.513317,tanh,16,0.1,0.9,0.98,0.0005633802953932352,0.8,5,128,small,PPO,COMPLETE
46,466.4800657280665,2022-09-11 13:13:24.946709,2022-09-11 21:33:01.751441,0 days 08:19:36.804732,tanh,16,0.1,0.92,0.95,0.001140355332649276,5.0,10,2048,small,PPO,COMPLETE
47,545.4471014509969,2022-09-11 14:55:27.038707,2022-09-11 22:28:39.872467,0 days 07:33:12.833760,relu,32,0.4,0.9,0.98,0.00025964129712188733,0.7,10,128,small,PPO,COMPLETE
48,-169.76458033501143,2022-09-11 17:39:24.189712,2022-09-12 01:59:37.956278,0 days 08:20:13.766566,tanh,128,0.1,0.8,0.9,0.019367636621393555,0.8,20,128,small,PPO,COMPLETE
49,587.226385809183,2022-09-11 18:42:04.601929,2022-09-12 02:26:54.981020,0 days 07:44:50.379091,tanh,16,0.2,0.9,0.98,0.00010780699118725256,5.0,10,512,small,PPO,COMPLETE
50,166.08396473757253,2022-09-11 20:07:17.901000,2022-09-12 03:26:19.134270,0 days 07:19:01.233270,tanh,16,0.1,0.8,0.98,0.004502751980509539,0.8,5,32,small,PPO,COMPLETE
51,576.1458225423457,2022-09-11 21:33:01.814004,2022-09-12 05:01:52.726990,0 days 07:28:50.912986,tanh,16,0.4,0.9,0.98,0.0006177468629752162,5.0,5,128,small,PPO,COMPLETE
52,512.9222228035399,2022-09-11 22:28:39.936574,2022-09-12 05:52:41.759136,0 days 07:24:01.822562,tanh,16,0.1,1.0,0.98,0.0007610496939998999,0.6,5,16,small,PPO,COMPLETE
53,214.55910480164349,2022-09-12 01:59:38.007436,2022-09-12 09:00:12.650912,0 days 07:00:34.643476,elu,64,0.1,0.9,0.98,0.0012593025621122406,0.8,5,128,small,PPO,COMPLETE
54,-132.28859966712986,2022-09-12 02:26:55.033165,2022-09-12 11:42:46.557041,0 days 09:15:51.523876,tanh,8,0.1,0.9,0.98,0.0032436396181214975,0.7,5,128,big,PPO,COMPLETE
55,556.3513930254998,2022-09-12 03:26:19.206523,2022-09-12 12:17:38.686660,0 days 08:51:19.480137,tanh,16,0.4,0.9,0.98,0.00022460905476217157,5.0,10,64,big,PPO,COMPLETE
56,509.9697383157818,2022-09-12 05:01:52.780429,2022-09-12 12:51:22.545815,0 days 07:49:29.765386,tanh,512,0.2,0.92,0.98,2.3808471000064017e-05,5.0,10,16,small,PPO,COMPLETE
57,291.46227939060645,2022-09-12 05:52:41.808516,2022-09-12 12:49:41.407569,0 days 06:56:59.599053,tanh,512,0.2,0.9,0.98,0.00010206439677145286,0.5,10,512,small,PPO,COMPLETE
58,177.66441599665458,2022-09-12 09:00:12.702250,2022-09-12 17:24:50.677246,0 days 08:24:37.974996,tanh,16,0.2,1.0,0.9999,1.1771788128808958e-05,5.0,10,512,small,PPO,COMPLETE
59,178.10810046873536,2022-09-12 11:42:46.607678,2022-09-12 19:31:13.504591,0 days 07:48:26.896913,tanh,256,0.2,1.0,0.98,3.3790601361639596e-05,5.0,1,512,small,PPO,COMPLETE
60,286.9895102023968,2022-09-12 12:17:38.739421,2022-09-12 19:53:18.085711,0 days 07:35:39.346290,relu,128,0.4,0.9,0.9,0.0014537706040138323,0.8,20,64,small,PPO,COMPLETE
61,87.39784639661681,2022-09-12 12:49:41.457458,2022-09-12 21:25:02.471395,0 days 08:35:21.013937,elu,16,0.2,0.95,0.98,2.577078136201375e-05,5.0,10,8,small,PPO,COMPLETE
62,269.88133637062134,2022-09-12 12:51:22.596527,2022-09-12 20:41:05.969554,0 days 07:49:43.373027,tanh,64,0.1,0.99,0.995,0.0004628655028696251,5.0,20,256,medium,PPO,COMPLETE
63,198.12827137530775,2022-09-12 17:24:50.755111,2022-09-13 02:01:14.386896,0 days 08:36:23.631785,leaky_relu,16,0.2,0.9,0.98,0.0006206986363690661,5.0,10,1024,small,PPO,COMPLETE
64,581.2450455369834,2022-09-12 19:31:13.557779,2022-09-13 04:18:57.677058,0 days 08:47:44.119279,tanh,16,0.1,0.9,0.98,0.00042157245444029946,5.0,10,512,small,PPO,COMPLETE
65,161.2929112644428,2022-09-12 19:53:18.141067,2022-09-13 06:25:55.684173,0 days 10:32:37.543106,tanh,64,0.4,0.9,0.99,0.0003811900794013566,5.0,20,16,medium,PPO,COMPLETE
66,92.70067266375838,2022-09-12 20:41:06.030547,2022-09-13 04:41:52.062031,0 days 08:00:46.031484,relu,16,0.1,0.8,0.98,0.024151400549844,5.0,10,128,small,PPO,COMPLETE
67,575.4210183307076,2022-09-12 21:25:02.522987,2022-09-13 05:08:16.142941,0 days 07:43:13.619954,tanh,32,0.1,0.9,0.98,0.0008995079365202027,0.8,5,64,medium,PPO,COMPLETE
68,325.2841625151449,2022-09-13 02:01:14.440632,2022-09-13 10:32:30.109024,0 days 08:31:15.668392,tanh,16,0.2,0.92,0.9,0.0006849827085082243,0.5,20,128,small,PPO,COMPLETE
69,-142.53847715387445,2022-09-13 04:18:57.748481,2022-09-13 12:49:49.018282,0 days 08:30:51.269801,relu,16,0.1,0.98,0.98,0.0010520584831187306,5.0,10,512,small,PPO,COMPLETE
70,458.1184709294357,2022-09-13 04:41:52.125987,2022-09-13 12:30:28.497428,0 days 07:48:36.371441,tanh,32,0.1,0.9,0.98,0.001400016349861987,0.6,10,2048,small,PPO,COMPLETE
71,582.6007629970587,2022-09-13 05:08:16.192914,2022-09-13 12:58:43.798635,0 days 07:50:27.605721,tanh,128,0.1,0.9,0.98,0.0005052249054526949,1.0,20,128,big,PPO,COMPLETE
72,413.70348754545176,2022-09-13 06:25:55.738179,2022-09-13 15:09:14.103903,0 days 08:43:18.365724,tanh,8,0.1,0.9,0.98,0.002392945465967735,5.0,10,128,small,PPO,COMPLETE
73,423.8098819152563,2022-09-13 10:32:30.162472,2022-09-13 20:09:11.751891,0 days 09:36:41.589419,tanh,128,0.1,0.99,0.995,0.0004358531148218763,0.8,20,16,small,PPO,COMPLETE
74,580.4579184391223,2022-09-13 12:30:28.547420,2022-09-13 20:18:18.488464,0 days 07:47:49.941044,tanh,16,0.1,0.9,0.95,0.00032498892234554343,0.8,5,128,small,PPO,COMPLETE
75,231.1435859061149,2022-09-13 12:49:49.086498,2022-09-13 21:04:10.884546,0 days 08:14:21.798048,elu,64,0.1,0.9,0.9999,0.00010283577095956378,5.0,10,128,medium,PPO,COMPLETE
76,-3.8722453768367586,2022-09-13 12:58:43.847379,2022-09-13 20:30:33.851277,0 days 07:31:50.003898,tanh,512,0.1,0.92,0.98,0.010145182280907177,1.0,20,128,big,PPO,COMPLETE
77,237.46220457154837,2022-09-13 15:09:14.173592,2022-09-13 23:47:31.296025,0 days 08:38:17.122433,leaky_relu,128,0.1,0.9,0.98,0.0007525841860610645,0.5,20,128,big,PPO,COMPLETE
78,584.7058512493311,2022-09-13 20:09:11.804177,2022-09-14 04:37:50.722881,0 days 08:28:38.918704,tanh,128,0.1,0.9,0.98,0.002531612928818597,1.0,20,128,big,PPO,COMPLETE
79,529.3169045862289,2022-09-13 20:18:18.550723,2022-09-14 04:48:45.355463,0 days 08:30:26.804740,tanh,128,0.1,0.9,0.98,3.584732867869937e-05,1.0,20,128,big,PPO,COMPLETE
80,432.12071578154865,2022-09-13 20:30:33.914523,2022-09-14 03:53:26.706361,0 days 07:22:52.791838,tanh,128,0.1,0.9,0.95,7.826998901172932e-05,0.8,5,512,small,PPO,COMPLETE
81,564.3698410804609,2022-09-13 21:04:10.955850,2022-09-14 06:32:56.326607,0 days 09:28:45.370757,tanh,128,0.1,0.9,0.98,0.00017472214803136918,1.0,20,32,big,PPO,COMPLETE
82,525.022096070534,2022-09-13 23:47:31.365437,2022-09-14 07:57:21.946896,0 days 08:09:50.581459,tanh,16,0.1,0.9,0.95,9.159394822441641e-05,0.8,5,1024,small,PPO,COMPLETE
83,560.5365521325732,2022-09-14 03:53:26.765066,2022-09-14 11:41:15.835022,0 days 07:47:49.069956,tanh,128,0.2,0.9,0.98,6.406210154337712e-05,1.0,20,128,medium,PPO,COMPLETE
84,561.5096743636943,2022-09-14 04:37:50.792458,2022-09-14 12:57:45.055412,0 days 08:19:54.262954,tanh,16,0.1,0.9,0.98,3.322190259877483e-05,5.0,10,512,small,PPO,COMPLETE
85,531.4241877641383,2022-09-14 04:48:45.424249,2022-09-14 14:05:09.601608,0 days 09:16:24.177359,tanh,32,0.1,0.98,0.9,0.00015954820614679058,5.0,20,1024,medium,PPO,COMPLETE
86,582.3352743339799,2022-09-14 06:32:56.381690,2022-09-14 14:20:41.999506,0 days 07:47:45.617816,tanh,256,0.1,0.9,0.98,0.0046216962370099895,0.3,20,128,medium,PPO,COMPLETE
87,-74.83273911949767,2022-09-14 07:57:22.012243,2022-09-14 15:49:16.447955,0 days 07:51:54.435712,tanh,128,0.2,0.9,0.98,0.021844915488187157,1.0,5,128,big,PPO,COMPLETE
88,70.42198961068357,2022-09-14 11:41:15.896438,2022-09-14 18:57:06.528815,0 days 07:15:50.632377,relu,16,0.1,0.9,0.995,0.008108055913751926,0.8,5,128,small,PPO,COMPLETE
89,564.2615195042906,2022-09-14 12:57:45.123161,2022-09-14 20:33:16.245318,0 days 07:35:31.122157,tanh,16,0.2,0.9,0.95,0.0003057883016074982,0.8,1,128,small,PPO,COMPLETE
90,,2022-09-14 14:05:09.660451,,,tanh,32,0.4,0.9,0.98,0.01620219379859499,1.0,20,16,big,PPO,RUNNING
91,360.950824954793,2022-09-14 14:20:42.058279,2022-09-14 22:11:18.014790,0 days 07:50:35.956511,tanh,256,0.1,0.95,0.98,7.275840880702022e-05,0.3,20,128,medium,PPO,COMPLETE
92,,2022-09-14 15:49:16.512892,,,tanh,256,0.1,0.9,0.98,0.05928630752457939,0.3,20,2048,medium,PPO,RUNNING
93,,2022-09-14 18:57:06.579844,,,elu,64,0.1,0.9,0.98,0.007242830980323425,0.3,20,8,medium,PPO,RUNNING
94,,2022-09-14 20:33:16.312488,,,leaky_relu,64,0.1,0.9,0.9,0.00025436405051592795,5.0,20,8,medium,PPO,RUNNING
95,,2022-09-14 22:11:18.081372,,,tanh,256,0.1,0.9,0.995,0.027070581830875944,0.3,5,256,medium,PPO,RUNNING
